Name,Address,Ring,Priority Score,Status,Segment,Top Project,TIV (USD),Projects,Fit-4,EAE Angle,Contact,Next Action
Lamb Weston Holdings,"Boardman, OR",Ring 1 - Same Day,98,Queued - Duane Riel,Core F&B,Boardman French Fries West Plant packaging line automation upgrades,161200000,12,5,"Angle 1 - Portability: one control app across 5 OR/WA sites","Duane Riel, Jeffrey Schneider",Book Boardman/Richland meeting week of Sep 1
Tyson Foods - Wallula,"Wallula, WA",Ring 1 - Same Day,95,Warm lead - anchor,Core F&B,Wallula Beef Slaughtering and Packing Plant refrigeration upgrades,2500000,1,1,"Angle 1+2 - PLC temp control + data concentration",John Hill (via Luis Abarca referral),On-site Sep 1; advisor before Oct26 scope freeze
Chukar Cherry Company,"Prosser, WA",Ring 1 - Same Day,84,Cold,Core F&B,Prosser Cherries packaging line automation upgrade,13000000,2,1,Angle 1 - hardware agnosticism,,Cold call + site visit request
White Bluffs Dairy,"Mesa, WA",Ring 1 - Same Day,80,Cold,Agriculture,Mesa Dairy Farm Replacement,8000000,1,1,Angle 1+3 - greenfield architecture,,Cold call; clean-sheet control spec
Seneca Foods Corporation,"Dayton, WA",Ring 1 - Same Day,72,Cold,Core F&B,Dayton Seed Processing Plant color sorter replacement,4000000,2,1,Angle 1 - sorter controls,,Cold call; pair with Wallula day
PepsiCo / Frito-Lay,"Washington State, USA",Ring 2 - Day Trip,70,Queued - Kel Dean,Core F&B,Modesto Snack Food Plant robotic palletizer addition,56000000,6,1,Angle 3 - enterprise IT/OT standardization,Kel Dean,Confirm WA site list; national standardization pitch
Washington State University,"Wenatchee, WA",Ring 2 - Day Trip,68,Cold,Life Sciences,Wenatchee Tree Fruit and Extension Center Replacement,214000000,4,1,Angle 2+3 - research data orchestration,,Email research/facilities engineering
Blue Bird Incorporated,"Wenatchee, WA",Ring 2 - Day Trip,55,Cold,Core F&B,Wenatchee Fruit Packing Plant packaging automation upgrades,1500000,1,1,Angle 1 - low-cost edge control,,Pair with WSU Wenatchee day
Lassonde Industries,"Washington State, USA",Ring 2 - Day Trip,54,Cold - needs ZI fix,Core F&B,Ontario Juices Plant robotic palletizer addition,10500000,4,3,Angle 1 - palletizer cell portability,,Identify WA site; resolve ZoomInfo entity
Ocean Spray Cranberries,"Aberdeen, WA",Ring 3 - Separate Trip,62,Queued - Kevin Edwards,Core F&B,Aberdeen Cranberry Plant robotic stacker addition,8500000,3,2,Angle 1 - stacker cell,Kevin Edwards,Separate coastal trip
Neil Jones Food Company,"Vancouver, WA",Ring 3 - Separate Trip,60,Queued - Reuben Valdez,Core F&B,Vancouver Cannery Plant case packer automation upgrade,4200000,3,2,Angle 1 - case packer controls,Reuben Valdez,Combine with Portland/OR swing
AGC Incorporated,"Bothell, WA",Ring 3 - Separate Trip,58,Cold,Life Sciences,Bothell APIs/Bulk Biologics CDMO renovations and upgrades,13000000,2,1,Angle 2 - GMP data integrity + historian,,Puget Sound trip
Old Trapper Smoked Products,"Forest Grove, OR",Ring 3 - Separate Trip,52,Cold,Core F&B,Forest Grove Beef Jerky Plant packaging line replacement,13000000,2,1,Angle 1 - line replacement,,Combine with Portland/OR swing
Partner Therapeutics,"Lynnwood, WA",Ring 3 - Separate Trip,50,Cold,Life Sciences,Lynnwood Sargramostim (Oncology) APIs production expansion,4000000,2,1,Angle 2 - batch data + edge historian,,Puget Sound trip
Perdue Farms,"Mount Vernon, WA",Ring 3 - Separate Trip,46,Cold,Core F&B,Mount Vernon Poultry Processing Plant upgrades,4500000,2,1,Angle 1 - poultry line controls,,Puget Sound trip
Seremoni Fish,"Tacoma, WA",Ring 3 - Separate Trip,44,Cold,Core F&B,Tacoma Brownfield Fish Processing Plant,5000000,1,1,Angle 1+3 - greenfield architecture spec,,Puget Sound trip; spec-in early
