RANK,ACCOUNT,SEGMENT,SITE_CITY,STATE,DRIVE_FROM_PASCO,TRIP_TIER,PROJECTS,FIT4,TOTAL_TIV_USD,TOP_PROJECT,PROJECT_TYPE,EAE_ANGLE,PRIORITY_SCORE,STATUS,NEXT_ACTION
1,Lamb Weston Holdings Incorporated,CORE_FB,Boardman OR / Columbia Basin WA sites,OR|WA,~50 min (Boardman),1,12,5,161200000,BOARDMAN FRENCH FRIES WEST PLANT PACKAGING LINE AUTOMATION UPGRADES,Upgrade,Angle 1 - Hardware agnosticism + multi-site portability,98,QUEUED (Duane Riel),Book Boardman/Richland mtg wk of Sep 1; lead multi-site container redeploy
2,Tyson Foods Incorporated,CORE_FB,Wallula,WA,~20 min,1,1,1,2500000,WALLULA BEEF SLAUGHTERING AND PACKING PLANT REFRIGERATION UPGRADES,Upgrade,Angle 1 + Angle 2 - PLC temp control + data concentration,95,LEAD - WARM (Luis Abarca -> John Hill),On-site while there Sep 1; advisor before Oct26 scope freeze / Jan27 AFE
3,Chukar Cherry Company,CORE_FB,Prosser,WA,~45 min,1,2,1,13000000,PROSSER CHERRIES PACKAGING LINE AUTOMATION UPGRADE,Automation,Angle 1 - commodity IPC on packaging line,84,COLD,Cold call + site visit request; 2 projects at one site
4,White Bluffs Dairy,AG,Mesa,WA,~30 min,1,1,1,8000000,MESA DAIRY FARM REPLACEMENT,Replacement,Angle 1 + 3 - greenfield architecture; no legacy PLC debt,80,COLD,Cold call; replacement = clean-sheet control spec
5,Seneca Foods Corporation,CORE_FB,Dayton,WA,~1 hr,1,2,1,4000000,DAYTON SEED PROCESSING PLANT COLOR SORTER REPLACEMENT,Replacement,Angle 1 - sorter controls on existing hardware,72,COLD,Cold call; pair with Wallula day
6,PepsiCo Incorporated (Frito-Lay),CORE_FB,Multi WA/CA,CA|WA,varies,2,6,1,56000000,MODESTO SNACK FOOD PLANT ROBOTIC PALLETIZER ADDITION,Equipment Addition,Angle 3 - enterprise IT/OT standardization,70,QUEUED (Kel Dean),Confirm WA site list; national standardization pitch
7,Washington State University,LIFE_SCI,Wenatchee / Pullman,WA,~2.5 hr / ~2 hr,2,4,1,214000000,WENATCHEE TREE FRUIT AND EXTENSION CENTER REPLACEMENT,Replacement,Angle 2 + 3 - research data orchestration; reference showcase,68,COLD,Email research/facilities eng; highest TIV in WA
8,Blue Bird Incorporated,CORE_FB,Wenatchee,WA,~2.5 hr,2,1,1,1500000,WENATCHEE FRUIT PACKING PLANT PACKAGING AUTOMATION UPGRADES,Automation,Angle 1 - low-cost edge control,55,COLD,Pair with WSU Wenatchee day
9,Lassonde Industries Incorporated,CORE_FB,Multi WA/CA,CA|WA,varies,2,4,3,10500000,ONTARIO JUICES PLANT ROBOTIC PALLETIZER ADDITION,Automation,Angle 1 - palletizer cell portability,54,COLD,Identify WA site; 3 fit-4 projects
10,Ocean Spray Cranberries Incorporated,CORE_FB,Aberdeen,WA,~4.5 hr,3,3,2,8500000,ABERDEEN CRANBERRY PLANT ROBOTIC STACKER ADDITION,Upgrade,Angle 1 - stacker cell,62,QUEUED (Kevin Edwards),Separate coastal trip; do not force into Sep 1 week
11,Neil Jones Food Company,CORE_FB,Vancouver,WA,~4 hr,3,3,2,4200000,VANCOUVER CANNERY PLANT CASE PACKER AUTOMATION UPGRADE,Automation,Angle 1 - case packer controls,60,QUEUED (Reuben Valdez),Combine with Portland/OR swing
12,AGC Incorporated,LIFE_SCI,Bothell,WA,~4 hr,3,2,1,13000000,BOTHELL APIS/BULK BIOLOGICS CDMO RENOVATIONS AND UPGRADES,Equipment Addition,Angle 2 - GMP data integrity + historian,58,COLD,Puget Sound trip
13,Old Trapper Smoked Products Incorporated,CORE_FB,Forest Grove OR / WA,OR|WA,~4 hr,3,2,1,13000000,FOREST GROVE BEEF JERKY PLANT PACKAGING LINE REPLACMENT,Replacement,Angle 1 - line replacement,52,COLD,Combine with Portland/OR swing
14,Partner Therapeutics Incorporated,LIFE_SCI,Lynnwood,WA,~4 hr,3,2,1,4000000,LYNNWOOD SARGRAMOSTIM (ONCOLOGY) APIS PRODUCTION EXPANSION,Equipment Addition,Angle 2 - batch data + edge historian,50,COLD,Puget Sound trip
15,Perdue Farms Incorporated,CORE_FB,Mount Vernon,WA,~5 hr,3,2,1,4500000,MOUNT VERNON POULTRY PROCESSING PLANT UPGRADES,Upgrade,Angle 1 - poultry line controls,46,COLD,Puget Sound trip
16,Seremoni Fish,CORE_FB,Tacoma,WA,~4 hr,3,1,1,5000000,TACOMA BROWNFIELD FISH PROCESSING PLANT,Brownfield,Angle 1 + 3 - greenfield architecture spec,44,COLD,Puget Sound trip; brownfield = spec-in early
